Org Code,Action,Register Number,Award Number,Institution,City,State,Zip Code,Principal Investigator,Total Funding Planned,Total Funding to Date,Project Start Date,Project End Date,Most Recent Award Date,Title,Award Type,Program Manager,Institution Type
SC-23,Renewal,CH11275,DE-FG02-05CH11275,NEW SCHOOL THE                                   ,New York,NY,10011,"Moriarty, Sean",1913000,2885000,7/15/05,10/31/13,9/30/08,The New School Green Building,Grant,"Brewington, Patrice",Educational
SC-23,Renewal,CH11429,DE-FG02-06CH11429,MONTGOMERY COLLEGE                                ,Rockville,MD,20850,"McLean, John",1435000,1435000,9/30/06,9/30/13,9/30/08,Biotechnology Project,Grant,"Brewington, Patrice",Educational
SC-23,New,CH20002,DE-SC0005070,EASTERN MICHIGAN UNIVERSITY                       ,Ypsilanti,MI,48197,"Shen, Weidian",486000,486000,9/30/10,4/30/13,9/10/10,Building Surface Science Capacity to Serve the Automobile Industry in Southeastern Michigan,Grant,"Brewington, Patrice",Educational
SC-23,New,CH20009,DE-SC0005059,BARRY UNIVERSITY INC.                            ,Miami Shores,FL,33161-6695,"LaLonde, Mara",1166400,1166400,9/30/10,9/29/13,9/23/10,Barry University - Enhancing a Student-Centered Approach to Science Education and Research Project,Grant,"Brewington, Patrice",Educational
SC-23,New,CH20011,DE-SC0005169,CHULA VISTA CITY OF                              ,Chula Vista,CA,91910,"Stone, Dennis",972000,972000,9/30/10,12/31/13,9/24/10,Environmental Sustainability Energy and Initial Land Use Planning and Entitlements for the University Park and Research Center in Chula Vista California,Grant,"Gallagher, Edward",Not-For-Profit Business
SC-23,New,CH20018,DE-SC0005303,KANSAS MED CTR RES INST INC  UNIV. OF           ,Kansas City,KS,66160-7700,"Terranova, Paul",3888000,3888000,9/30/10,9/29/15,9/28/10,Univesity of Kansas Medical Center Cancer Research Equipment,Grant,"Gallagher, Edward",Educational
SC-23,New,CH20019,DE-SC0005061,LOUISIANA STATE UNIVERSITY AND A&M COLLEGE        ,Baton Rouge,LA,70803-0001,"Cherry, Michael",972000,972000,9/30/10,9/29/13,9/28/10,Renovation of LSU Nuclear Science Building and Development of Nuclear Workforce Program,Grant,"Brewington, Patrice",Educational
SC-23,New,CH20022,DE-SC0005129,NEW YORK STATE U. OF GENESEO                     ,Geneseo,NY,          ,"Geiger, David",486000,486000,9/30/10,12/31/15,9/22/10,Molecular Structure Laboratory: Fourier Transform Nuclear Magnetic Resonance (FTNMR) Spectrometer and Ancillary Instrumentation at SUNY Geneseo,Grant,"Gallagher, Edward",Educational
SC-23,New,CH20025,DE-SC0005216,MORRIS COLLEGE                                    ,Sumter,SC,29150,"Ali, Radman",1458000,1458000,9/30/10,9/29/13,9/24/10,STEM Infrastructure Improvement,Grant,"Brewington, Patrice",Educational
SC-23,New,CH20029,DE-SC0006792,MASSACHUSETTS UNIVERSITY OF AMHERST             ,Amherst,MA,1003,"Cahill, James",1944000,1944000,7/1/11,6/30/13,9/27/11,Integrated Sciences Building,Grant,"Brewington, Patrice",Educational
SC-22.13,Renewal,ER13179,DE-FG02-84ER13179,PENNSYLVANIA STATE UNIVERSITY                     ,University Park,PA,16802-7000,"Cosgrove, Daniel",510000,510000,5/1/11,4/30/14,8/23/11,Molecular Mechanisms of Plant Cell Wall Loosening,Grant,"Stack, Robert",Educational
SC-22.12,Renewal,ER13183,DE-FG02-84ER13183,WISCONSIN UNIVERSITY OF MADISON                  ,Madison,WI,53715-1218,"Dumesic, James",525000,350000,7/1/11,6/30/14,9/20/11,Fundamental Studies of the Reforming of Oxygenated Compounds Over Supported Metal Catalysts,Grant,"Miranda, Raul",Educational
SC-22.11,Renewal,ER13251,DE-FG02-84ER13251,STANFORD UNIVERSITY                               ,Stanford,CA,94305,"Fayer, Michael",840000,840000,1/15/11,1/14/14,3/9/11,Confinement Interfaces and Ions: Dynamics and Interactions in Water Proton Transfer and Room Temperature Ionic Liquid Systems,Grant,"Fiechtner, Gregory",Educational
SC-22.12,No-Cost Extension,ER13289,DE-FG02-84ER13289,HARVARD COLLEGE                                   ,Cambridge,MA,2138,"Friend, Cynthia",0,0,12/1/09,5/31/13,11/13/12,Molecular-Scale Understanding of Selective Oxidative Transformation of Alcohols Promoted by Au and Au-Based Alloys,Grant,"Miranda, Raul",Educational
SC-22.12,Renewal,ER13297,DE-FG02-84ER13297,YALE UNIVERSITY                                   ,New Haven,CT,06520-8337,"Crabtree, Robert",480000,320000,12/1/11,11/30/14,12/22/11,Moving to Sustainable Metals:  Multifunctional Ligands in Catalytic Outer Sphere C-H N-H and O-H Activation,Grant,"Maupin, Paul",Educational
SC-22.13,Renewal,ER13361,DE-FG02-85ER13361,MARINE BIOLOGICAL LABORATORY                      ,Woods Hole,MA,02543-1015,"Zinder, Stephen",225000,135000,5/1/10,4/30/15,8/26/10,Investigations into the Metabolic Diversity of Microorganisms as Part of Microbial Diversity,Grant,"Stack, Robert",Not-For-Profit Business
SC-22.11,Renewal,ER13491,DE-FG02-86ER13491,KANSAS STATE UNIVERSITY                           ,Manhattan,KS,66506-1103,"Ben-Itzhak, Itzik",7500000,7500000,2/15/10,2/14/13,9/16/10,Structure and Dynamics of  Atomics Ions Molecules and Surfaces,Grant,"Krause, Jeffrey",Educational
SC-22.12,Renewal,ER13511,DE-FG02-86ER13511,NORTHWESTERN UNIVERSITY                           ,Evanston,IL,60208-1110,"Marks, Tobin",555000,555000,11/15/10,11/14/13,2/4/11,Supported Organometallic Complexes:  Surface Chemistry Spectroscopy Catalysis and Homogeneous Models,Grant,"Miranda, Raul",Educational
SC-22.12,Renewal,ER13514,DE-FG02-86ER13514,CALIFORNIA UNIV. OF IRVINE                       ,Irvine,CA,92697-7600,"Evans, William",375000,375000,6/15/10,6/14/13,7/17/10,Advancing Chemistry with the Lanthanide and Actinide Elements,Grant,"Maupin, Paul",Educational
SC-22.13,Renewal,ER13525,DE-FG02-86ER13525,CALIFORNIA UNIV. OF IRVINE                       ,Irvine,CA,92697-7600,"Lanyi, Janos",555000,370000,6/1/11,5/31/14,9/16/11,Membrane Bioenergetics of Salt Tolerant Organisms,Grant,"McLean, Barbara",Educational
SC-22.12,Renewal,ER13569,DE-FG02-86ER13569,ROCHESTER UNIVERSITY OF                          ,Rochester,NY,14627-0140,"Jones, William",465000,465000,6/1/11,5/31/14,6/2/11,Transition Metal Activation and Functionalization of Carbon-Hydrogen Carbon-Carbon Bonds,Grant,"Maupin, Paul",Educational
SC-22.11,Renewal,ER13579,DE-FG02-86ER13579,MINNESOTA  REGENTS OF UNIV. OF                   ,Minneapolis,MN,55455-2070,"Truhlar, Donald",515000,372000,12/1/10,11/30/14,3/8/11,Variational Transition State Theory,Grant,"Pederson, Mark",Educational
SC-22.11,Renewal,ER13671,DE-FG02-87ER13671,MASSACHUSETTS INST. OF TECH.                      ,Cambridge,MA,02139-4307,"Field, Robert",480000,320000,11/1/11,10/31/14,12/21/11,Spectroscopic and Dynamical Studies of Highly Energized Small Polyatomic Molecules,Grant,"Sisk, Wade",Educational
SC-22.13,No-Cost Extension,ER13713,DE-FG02-87ER13713,MISSOURI UNIVERSITY OF                           ,Columbia,MO,65211,"Wall, Judy",0,0,9/1/08,8/31/13,6/20/12,Genetics and Molecular Biology of Hydrogen Metabolism in the Sulfate-reducing Bacteria,Grant,"Stack, Robert",Educational
SC-22.13,Renewal,ER13716,DE-FG02-87ER13716,ILLINOIS UNIV. OF URBANA-CHAMPAIGN               ,Urbana,IL,61801,"Gennis, Robert",510000,510000,9/1/10,8/31/13,9/21/10,Biochemical and Biophysical Studies of the E Coli Aerobic Respiratory Chain,Grant,"McLean, Barbara",Educational
SC-22.13,Renewal,ER13742,DE-FG02-87ER13742,CALIFORNIA UNIV. OF BERKELEY                     ,Berkeley,CA,94720-5940,"Quail, Peter",480000,480000,7/1/10,6/30/13,7/16/10,Phytochrome from Green Plants:  Properties and Biological Function,Grant,"McLean, Barbara",Educational
SC-22.11,Renewal,ER13744,DE-FG02-87ER13744,MASSACHUSETTS UNIVERSITY OF AMHERST             ,Amherst,MA,1003,"Jackson, Bret",495000,330000,6/1/11,5/31/14,9/10/11,Theory of the Reaction Dynamics of Small Molecules on Metal Surfaces,Grant,"Pederson, Mark",Educational
