4200156975,NNX06AD67G,GSFC,VISCOELASTIC AND PLASTIC RHEOLOGIES OF EUTECTIC WATER-ICE/SALT-HYDRATE AGGREGATES WITH APPLICATION,REID COOPER,STEVE SAUNDERS,BROWN UNIVERSITY,9/20/06,9/1/06,8/31/09,AWARDED,NO,2011JGRE..116.4007M,"http://labs.adsabs.harvard.edu/adsabs/api/record/2011JGRE..116.4007M?fl=author,pub,aff,property,keyword,title&dev_key=8IIQgx5DrWZBwr2o",Transient and steady state creep response of ice I and magnesium sulfate hydrate eutectic aggregates,Journal of Geophysical Research (Planets),"McCarthy, Christine; Cooper, Reid F.; Goldsby, David L.; Durham, William B.; Kirby, Stephen H.",PI in authors,REFEREED; ARTICLE,planets and satellites; planets and satellites; planets and satellites; planets and satellites; planets and satellites; planets and satellites; Mineral Physics: Creep and deformation; Physical Properties of Rocks: Microstructure; Planetary Sciences: Solid Surface Planets: Ices; Planetary Sciences: Solar System Objects: Europa; Planetary Sciences: Solid Surface Planets: Physical properties of materials
4200175351,NNX06AH36G,GSFC,A GLOBAL FOREST CANOPY HEIGHT AND VERTICAL STRUCTURE PRODUCT FROM THE GEOSCIENCE LASER ALTIMETER SYS,MICHAEL LEFSKY,DONALD ANDERSON,COLORADO STATE UNIVERSITY,9/20/06,10/1/06,9/30/09,AWARDED,NO,2010GeoRL..3715401L,"http://labs.adsabs.harvard.edu/adsabs/api/record/2010GeoRL..3715401L?fl=author,pub,aff,property,keyword,title&dev_key=8IIQgx5DrWZBwr2o",A global forest canopy height map from the Moderate Resolution Imaging Spectroradiometer and the Geoscience Laser Altimeter System,Geophysical Research Letters,"Lefsky, Michael A.",PI in authors,REFEREED; ARTICLE,Biogeosciences: Remote sensing; Biogeosciences: Carbon cycling (4806); Biogeosciences: Ecosystems; structure and dynamics (4815)
4200169197,NNX06AH69G,GSFC,MINERALOGICAL CONSTRAINTS FROM REFLECTANCE SPECTRA:CLUES TO UNRAVELING THE PETROLOGIC HISTORY OF SIL,JESSICA SUNSHINE,STEVE SAUNDERS,"UNIVERSITY OF MARYLAND, COLLEGE PARK",9/20/06,9/14/06,9/13/08,AWARDED,NO,2011Icar..214..147M,"http://labs.adsabs.harvard.edu/adsabs/api/record/2011Icar..214..147M?fl=author,pub,aff,property,keyword,title&dev_key=8IIQgx5DrWZBwr2o",The origin of Vesta's crust: Insights from spectroscopy of the Vestoids,Icarus,"Mayne, R. G.; Sunshine, J. M.; McSween, H. Y.; Bus, S. J.; McCoy, T. J.",PI in authors,REFEREED; ARTICLE,no keywords
4200169197,NNX06AH69G,GSFC,MINERALOGICAL CONSTRAINTS FROM REFLECTANCE SPECTRA:CLUES TO UNRAVELING THE PETROLOGIC HISTORY OF SIL,JESSICA SUNSHINE,STEVE SAUNDERS,"UNIVERSITY OF MARYLAND, COLLEGE PARK",9/20/06,9/14/06,9/13/08,AWARDED,NO,2010Icar..208..789D,"http://labs.adsabs.harvard.edu/adsabs/api/record/2010Icar..208..789D?fl=author,pub,aff,property,keyword,title&dev_key=8IIQgx5DrWZBwr2o","A coordinated spectral, mineralogical, and compositional study of ordinary chondrites",Icarus,"Dunn, Tasha L.; McCoy, Timothy J.; Sunshine, J. M.; McSween, Harry Y.",PI in authors,REFEREED; ARTICLE,no keywords
4200169197,NNX06AH69G,GSFC,MINERALOGICAL CONSTRAINTS FROM REFLECTANCE SPECTRA:CLUES TO UNRAVELING THE PETROLOGIC HISTORY OF SIL,JESSICA SUNSHINE,STEVE SAUNDERS,"UNIVERSITY OF MARYLAND, COLLEGE PARK",9/20/06,9/14/06,9/13/08,AWARDED,NO,2008LPICo1405.8164S,"http://labs.adsabs.harvard.edu/adsabs/api/record/2008LPICo1405.8164S?fl=author,pub,aff,property,keyword,title&dev_key=8IIQgx5DrWZBwr2o",Asteroids Enriched in Refractory Inclusions: Evidence of Accretion Prior to the Injection of Radiogenic Aluminum into the Solar System,LPI Contributions,"Sunshine, J. M.; Connolly, H. C.; McCoy, T. J.; Bus, S. J.; La Croix, L. M.",PI in authors,OPENACCESS; NOT REFEREED; TOC; PUB_OPENACCESS; ARTICLE,no keywords
4200169197,NNX06AH69G,GSFC,MINERALOGICAL CONSTRAINTS FROM REFLECTANCE SPECTRA:CLUES TO UNRAVELING THE PETROLOGIC HISTORY OF SIL,JESSICA SUNSHINE,STEVE SAUNDERS,"UNIVERSITY OF MARYLAND, COLLEGE PARK",9/20/06,9/14/06,9/13/08,AWARDED,NO,2007DPS....39.3301S,"http://labs.adsabs.harvard.edu/adsabs/api/record/2007DPS....39.3301S?fl=author,pub,aff,property,keyword,title&dev_key=8IIQgx5DrWZBwr2o",Refractory-Rich Asteroids: Concentrations of the Most Ancient Materials in the Solar System,AAS/Division for Planetary Sciences Meeting Abstracts #39,"Sunshine, Jessica; Connolly, H. C., Jr.; McCoy, T. J.; Bus, S. J.",PI in authors,NONARTICLE; NOT REFEREED; ABSTRACT,no keywords
4200169197,NNX06AH69G,GSFC,MINERALOGICAL CONSTRAINTS FROM REFLECTANCE SPECTRA:CLUES TO UNRAVELING THE PETROLOGIC HISTORY OF SIL,JESSICA SUNSHINE,STEVE SAUNDERS,"UNIVERSITY OF MARYLAND, COLLEGE PARK",9/20/06,9/14/06,9/13/08,AWARDED,NO,2007LPI....38.1613S,"http://labs.adsabs.harvard.edu/adsabs/api/record/2007LPI....38.1613S?fl=author,pub,aff,property,keyword,title&dev_key=8IIQgx5DrWZBwr2o",Identification of Refractory-rich Asteroids: Evidence for the Earliest Accreted Bodies in the Solar System,Lunar and Planetary Institute Science Conference Abstracts,"Sunshine, J. M.; Connolly, H. C.; McCoy, T. J.; Bus, S. J.; La Croix, L.",PI in authors,NONARTICLE; OPENACCESS; NOT REFEREED; TOC; PUB_OPENACCESS; ABSTRACT,no keywords
4200168306,NNX06AE80G,GSFC,MAGNETIC CVS FROM SDSS,PAULA SZKODY,STEVE SNOWDEN,UNIVERSITY OF WASHINGTON,9/21/06,8/1/06,7/31/07,AWARDED,NO,2006AAS...209.0919H,"http://labs.adsabs.harvard.edu/adsabs/api/record/2006AAS...209.0919H?fl=author,pub,aff,property,keyword,title&dev_key=8IIQgx5DrWZBwr2o",XMM-Newton Observations of Three Interesting Cataclysmic Variables,American Astronomical Society Meeting Abstracts,"Hilton, Eric J.; Szkody, P.; Homer, L.; Schmidt, G.; Henden, A.; Anderson, S.; Mukai, K.; Mukadam, A.; van Zyl, L.; Hellier, C.",PI in authors,NONARTICLE; NOT REFEREED; ABSTRACT,no keywords
4200167064,NNX06AE64G,HQ,UNDERSTANDING FLARES WITH EARLY IMPULSIVE HARD,LINHUI SUI,MING-YING WEI,CATHOLIC UNIVERSITY OF AMERICA,9/22/06,8/1/06,7/31/09,AWARDED,NO,2008AdSpR..41..976S,"http://labs.adsabs.harvard.edu/adsabs/api/record/2008AdSpR..41..976S?fl=author,pub,aff,property,keyword,title&dev_key=8IIQgx5DrWZBwr2o",A question raised from the observation of dynamic cusp formation: When and where does particle acceleration occur?,Advances in Space Research,"Sui, Linhui; Holman, Gordon D.; Dennis, Brian R.",PI in authors,REFEREED; ARTICLE,no keywords
4200167786,NNX06AE65G,HQ,IMPACTS OF SOIL FREEZE/THAW DYNAMICS ON THE NORTH AMERICAN CARBON CYCLE,TINGJUN ZHANG,DIANE WICKLAND,REGENTS OF THE UNIVERSITY OF COLORADO,9/22/06,8/15/06,8/14/09,AWARDED,NO,2013BGD....10.3039S,"http://labs.adsabs.harvard.edu/adsabs/api/record/2013BGD....10.3039S?fl=author,pub,aff,property,keyword,title&dev_key=8IIQgx5DrWZBwr2o",Evaluating the agreement between measurements and models of net ecosystem exchange at different times and time scales using wavelet coherence: an example using data from the North American Carbon Program Site-Level Interim Synthesis,Biogeosciences Discussions,"Stoy, P. C.; Dietze, M.; Richardson, A. D.; Vargas, R.; Barr, A. G.; Anderson, R. S.; Arain, M. A.; Baker, I. T.; Black, T. A.; Chen, J. M.; Cook, R. B.; Gough, C. M.; Grant, R. F.; Hollinger, D. Y.; Izaurralde, R. C.; Kucharik, C. J.; Lafleur, P.; Law, B. E.; Liu, S.; Lokupitiya, E.; Luo, Y.; Munger, J. W.; Peng, C.; Poulter, B.; Price, D. T.; Ricciuto, D. M.; Riley, W. J.; Sahoo, A. K.; Schaefer, K.; Schwalm, C. R.; Tian, H.; Verbeeck, H.; Weng, E.",PI not found,OPENACCESS; REFEREED; PUB_OPENACCESS; ARTICLE,no keywords
