PR Number,Grant Number,Pgrp / Center,Proposal Title,PI Name,Technical Officer,Institution,Award Date,Performance Start Date,Performance End Date,Status,Congressional Directed Item,"[{u'bibcode': u'2013IJAEO..23..192K'}, {u'bibcode': u'2013IJAEO..23..213J'}, {u'bibcode': u'2013IJAEO..23..245D'}, {u'bibcode': u'2013IJAEO..23..334R'}, {u'bibcode': u'2013IJAEO..23..132A'}, {u'bibcode': u'2013IJAEO..23..142S'}, {u'bibcode': u'2013NewA...22...22C'}, {u'bibcode': u'2013NewA...22...51U'}, {u'bibcode': u'2013CNSNS..18.1939L'}, {u'bibcode': u'2013CNSNS..18.1970M'}, {u'bibcode': u'2013CNSNS..18.2066Z'}, {u'bibcode': u'2013CNSNS..18.2177P'}, {u'bibcode': u'2013CNSNS..18.2188T'}, {u'bibcode': u'2013CNSNS..18.2222Z'}, {u'bibcode': u'2013NewA...21...27L'}, {u'bibcode': u'2013NewA...21...40L'}, {u'bibcode': u'2013NewA...21...50K'}, {u'bibcode': u'2013CNSNS..18.1568S'}, {u'bibcode': u'2013CNSNS..18.1623R'}, {u'bibcode': u'2013CNSNS..18.1652F'}]"
4200464822,NNX11AB59G S04,GSFC,HURRICANE AND SEVERE STORM SENTINEL,ED ZISPER,SCOTT BRAUN,UNIVERISTY OF UTAH,1/1/70,10/29/10,10/28/15,AWARDED,NO,no hits,"[{u'bibcode': u'2013IJAEO..23..192K'}, {u'bibcode': u'2013IJAEO..23..213J'}, {u'bibcode': u'2013IJAEO..23..245D'}, {u'bibcode': u'2013IJAEO..23..334R'}, {u'bibcode': u'2013IJAEO..23..132A'}, {u'bibcode': u'2013IJAEO..23..142S'}, {u'bibcode': u'2013NewA...22...22C'}, {u'bibcode': u'2013NewA...22...51U'}, {u'bibcode': u'2013CNSNS..18.1939L'}, {u'bibcode': u'2013CNSNS..18.1970M'}, {u'bibcode': u'2013CNSNS..18.2066Z'}, {u'bibcode': u'2013CNSNS..18.2177P'}, {u'bibcode': u'2013CNSNS..18.2188T'}, {u'bibcode': u'2013CNSNS..18.2222Z'}, {u'bibcode': u'2013NewA...21...27L'}, {u'bibcode': u'2013NewA...21...40L'}, {u'bibcode': u'2013NewA...21...50K'}, {u'bibcode': u'2013CNSNS..18.1568S'}, {u'bibcode': u'2013CNSNS..18.1623R'}, {u'bibcode': u'2013CNSNS..18.1652F'}]"
4200465872,NNX13AG94G,GSFC,DATA-BASED HYDROLOGIC VALIDATION OF GPM RAINFALL PRODUCTS,WITOLD KRAJEWSKI,MATHEW R SCHWALLER,UNIVERSITY OF IOWA,1/1/70,2/11/13,2/10/16,AWARDED,NO,no hits,"[{u'bibcode': u'2013IJAEO..23..192K'}, {u'bibcode': u'2013IJAEO..23..213J'}, {u'bibcode': u'2013IJAEO..23..245D'}, {u'bibcode': u'2013IJAEO..23..334R'}, {u'bibcode': u'2013IJAEO..23..132A'}, {u'bibcode': u'2013IJAEO..23..142S'}, {u'bibcode': u'2013NewA...22...22C'}, {u'bibcode': u'2013NewA...22...51U'}, {u'bibcode': u'2013CNSNS..18.1939L'}, {u'bibcode': u'2013CNSNS..18.1970M'}, {u'bibcode': u'2013CNSNS..18.2066Z'}, {u'bibcode': u'2013CNSNS..18.2177P'}, {u'bibcode': u'2013CNSNS..18.2188T'}, {u'bibcode': u'2013CNSNS..18.2222Z'}, {u'bibcode': u'2013NewA...21...27L'}, {u'bibcode': u'2013NewA...21...40L'}, {u'bibcode': u'2013NewA...21...50K'}, {u'bibcode': u'2013CNSNS..18.1568S'}, {u'bibcode': u'2013CNSNS..18.1623R'}, {u'bibcode': u'2013CNSNS..18.1652F'}]"
4200156877,NNX06AB07G,GSFC,STUDIES OF PLANETARY VOLCANISM,RONALD GREELEY,STEVE SAUNDERS,ARIZONA STATE UNIVERSITY,5/19/06,5/15/06,5/14/07,AWARDED,NO,no hits,"[{u'bibcode': u'2013IJAEO..23..192K'}, {u'bibcode': u'2013IJAEO..23..213J'}, {u'bibcode': u'2013IJAEO..23..245D'}, {u'bibcode': u'2013IJAEO..23..334R'}, {u'bibcode': u'2013IJAEO..23..132A'}, {u'bibcode': u'2013IJAEO..23..142S'}, {u'bibcode': u'2013NewA...22...22C'}, {u'bibcode': u'2013NewA...22...51U'}, {u'bibcode': u'2013CNSNS..18.1939L'}, {u'bibcode': u'2013CNSNS..18.1970M'}, {u'bibcode': u'2013CNSNS..18.2066Z'}, {u'bibcode': u'2013CNSNS..18.2177P'}, {u'bibcode': u'2013CNSNS..18.2188T'}, {u'bibcode': u'2013CNSNS..18.2222Z'}, {u'bibcode': u'2013NewA...21...27L'}, {u'bibcode': u'2013NewA...21...40L'}, {u'bibcode': u'2013NewA...21...50K'}, {u'bibcode': u'2013CNSNS..18.1568S'}, {u'bibcode': u'2013CNSNS..18.1623R'}, {u'bibcode': u'2013CNSNS..18.1652F'}]"
4200156957,NNX06AB01G,GSFC,"RETRIEVAL OF H2O, HDO AND CONVECTIVE TRACERS",ADAM SOBEL,PHILIP DECOLA,UNIVERSITY OF COLUMBIA,5/23/06,5/15/06,5/14/09,AWARDED,NO,no hits,"[{u'bibcode': u'2013IJAEO..23..192K'}, {u'bibcode': u'2013IJAEO..23..213J'}, {u'bibcode': u'2013IJAEO..23..245D'}, {u'bibcode': u'2013IJAEO..23..334R'}, {u'bibcode': u'2013IJAEO..23..132A'}, {u'bibcode': u'2013IJAEO..23..142S'}, {u'bibcode': u'2013NewA...22...22C'}, {u'bibcode': u'2013NewA...22...51U'}, {u'bibcode': u'2013CNSNS..18.1939L'}, {u'bibcode': u'2013CNSNS..18.1970M'}, {u'bibcode': u'2013CNSNS..18.2066Z'}, {u'bibcode': u'2013CNSNS..18.2177P'}, {u'bibcode': u'2013CNSNS..18.2188T'}, {u'bibcode': u'2013CNSNS..18.2222Z'}, {u'bibcode': u'2013NewA...21...27L'}, {u'bibcode': u'2013NewA...21...40L'}, {u'bibcode': u'2013NewA...21...50K'}, {u'bibcode': u'2013CNSNS..18.1568S'}, {u'bibcode': u'2013CNSNS..18.1623R'}, {u'bibcode': u'2013CNSNS..18.1652F'}]"
4200155117,NNX06AB55G,GSFC,UNC AND FUN GRB FOLLOW-UP OBSERVATIONS OF SWIFT GRBS,DANIEL REICHART,FRANCIS MARSHALL,"UNIVERSITY OF NC, CHAPEL HILL",5/24/06,5/8/06,5/7/07,AWARDED,NO,no hits,"[{u'bibcode': u'2013IJAEO..23..192K'}, {u'bibcode': u'2013IJAEO..23..213J'}, {u'bibcode': u'2013IJAEO..23..245D'}, {u'bibcode': u'2013IJAEO..23..334R'}, {u'bibcode': u'2013IJAEO..23..132A'}, {u'bibcode': u'2013IJAEO..23..142S'}, {u'bibcode': u'2013NewA...22...22C'}, {u'bibcode': u'2013NewA...22...51U'}, {u'bibcode': u'2013CNSNS..18.1939L'}, {u'bibcode': u'2013CNSNS..18.1970M'}, {u'bibcode': u'2013CNSNS..18.2066Z'}, {u'bibcode': u'2013CNSNS..18.2177P'}, {u'bibcode': u'2013CNSNS..18.2188T'}, {u'bibcode': u'2013CNSNS..18.2222Z'}, {u'bibcode': u'2013NewA...21...27L'}, {u'bibcode': u'2013NewA...21...40L'}, {u'bibcode': u'2013NewA...21...50K'}, {u'bibcode': u'2013CNSNS..18.1568S'}, {u'bibcode': u'2013CNSNS..18.1623R'}, {u'bibcode': u'2013CNSNS..18.1652F'}]"
4200156965,NNX06AB02G,GSFC,DYNAMICS OF SMALL BODIES AND RINGS,LUKE DONES,STEVE SAUNDERS,SOUTHWEST RESEARCH INSTITUTE,5/30/06,5/4/06,5/3/09,AWARDED,NO,no hits,"[{u'bibcode': u'2013IJAEO..23..192K'}, {u'bibcode': u'2013IJAEO..23..213J'}, {u'bibcode': u'2013IJAEO..23..245D'}, {u'bibcode': u'2013IJAEO..23..334R'}, {u'bibcode': u'2013IJAEO..23..132A'}, {u'bibcode': u'2013IJAEO..23..142S'}, {u'bibcode': u'2013NewA...22...22C'}, {u'bibcode': u'2013NewA...22...51U'}, {u'bibcode': u'2013CNSNS..18.1939L'}, {u'bibcode': u'2013CNSNS..18.1970M'}, {u'bibcode': u'2013CNSNS..18.2066Z'}, {u'bibcode': u'2013CNSNS..18.2177P'}, {u'bibcode': u'2013CNSNS..18.2188T'}, {u'bibcode': u'2013CNSNS..18.2222Z'}, {u'bibcode': u'2013NewA...21...27L'}, {u'bibcode': u'2013NewA...21...40L'}, {u'bibcode': u'2013NewA...21...50K'}, {u'bibcode': u'2013CNSNS..18.1568S'}, {u'bibcode': u'2013CNSNS..18.1623R'}, {u'bibcode': u'2013CNSNS..18.1652F'}]"
4200156040,NNX06AB24G,GSFC,OPTICAL DATING RESPONSE OF MARS SEDIMENT ANALOGS INCLUDING GEOLOGIC SALTS TO SIMULTANEOUS UV/VIS,KENNETH LEPPER,MARILYN LINDSTROM,NORTH DAKOTA STATE UNIVERSITY,5/30/06,5/10/06,5/9/08,AWARDED,NO,"[{u'bibcode': u'2008LPI....39.2057D'}, {u'bibcode': u'2008LPI....39.2089O'}, {u'bibcode': u'2008pldu.work...48L'}]"
4200157377,NNX06AB54G,GSFC,LAND INFORMATION SYSTEM PRECIPITATION CLIMATOLOGY IMPROVEMENTS,CHRISTOPHER DALY,CHRISTA PETERS-LIDARD,SOUTHWEST RESEARCH INSTITUTE,5/30/06,6/1/06,5/31/08,AWARDED,NO,no hits,"[{u'bibcode': u'2008LPI....39.2057D'}, {u'bibcode': u'2008LPI....39.2089O'}, {u'bibcode': u'2008pldu.work...48L'}]"
4200156958,NNX06AB04G,HQ,"RETRIEVAL OF H20, AND CONVECTIVE TRACERS FROM ACE: VALIDATION AND SYNERGISTIC",PAUL O. WENNBERG,PHILIP DECOLA,CALIFORNIA INSTITUTE OF TECH.,5/31/06,5/15/06,5/14/09,AWARDED,NO,no hits,"[{u'bibcode': u'2008LPI....39.2057D'}, {u'bibcode': u'2008LPI....39.2089O'}, {u'bibcode': u'2008pldu.work...48L'}]"
4200156875,NNX06AB05G,HQ,EFFECTS OF RHEOLOGY ON THE DYNAMICS AND EVOLUTION OF PLANETARY INTERIORS,VIATCHESLAV SOLOMATOV,STEVE SAUNDERS,WASHINGTON UNIVERSITY,5/31/06,5/16/06,5/14/09,AWARDED,NO,"[{u'bibcode': u'2011GGG....12.7018O'}, {u'bibcode': u'2007PEPI..165....1S'}]"
